Общность,Описание
0.5686276129025157,Макрорельеф
0.5936682925014909,Мезорельеф
0.6320183116858326,Положение разреза
0.536332717781499,Экспозиция разреза
0.384668027266073,Форма склона
0.4913323365591861,Растительная ассоциация
0.44670144229068093,Древесно-кустарниковый покров
0.7489641430814629,Кустарничковый и травяной покров
0.4581717713152673,Моховый и лишайниковый покров
0.6116192935474276,Уровень обнаружения ГВ
0.4119047895459479,Уровень минерализации ГВ
0.4497493279996514,Генетический тип почвообразующей породы
0.4348940571856185,Состав почвообразующей породы
0.20113336873944915,Выветрелость почвообразующей породы
0.5497697161761292,Генетический тип подстилающей породы
0.4072062806083117,Состав подстилающей породы
0.2577513083225296,Хозяйственное использование
0.22461789356086315,Комментарии к профилю почвы
0.49071863213779005,Влажность
0.6754345050089817,Однородность цвета
0.5836258605711954,Тип неоднородности цвета
0.38626851045893196,Оттенок преобладающего цвета
0.36815905811111566,Преобладающий цвет
0.4631862142655192,Тональность преобладающего цвета по Манселлу
0.34903777062723707,Добавочный цвет
0.4139921980616056,Гранулометрический состав (полевой метод)
0.42953292859864217,"Гранулометрический состав, дополнительно"
0.49612305576063126,Дополнительная характеристика структуры
0.32107949195823393,Структура
0.5334111192882438,Интенсивность вскипания
0.4444807549318548,Преобладающий размер корней
0.5162949383479933,Обилие корней
0.536708960287257,Форма границы
0.5318508267467744,Морфологические элементы
0.3235834012122438,Комментарии к морфологическому описанию
0.7147497984909742,
0.4820612512161933,Уникальный идентификатор почвы (номер выдела) по ПК РФ 1988
0.619881761527975,Верхняя граница вскипания
0.47685878162995116,Глубина залегания твердой породы
0.45570242734628225,Количество горизонтов
0.2832384107911263,Порядковый номер горизонта
0.22104159124916822,Мощность горизонта
0.8886041333139336,Количество анализируемых образцов из горизонта
0.6245272713812133,Порядковый номер образца в горизонте
0.4301766578641398,ППП (эс)
0.4009947172710644,R2O3 в почве
0.5306301996431834,Al2O3 в почве
0.49384493854528977,Fe2O3 в почве
0.6749507364129712,CaO в почве
0.4564048014654691,MgO в почве
0.44919426319063543,TiO2 в почве
0.1217300619162805,MnO в почве
0.03378206783133048,P2O5 в почве
0.14464278948974543,SO3 в почве
0.0565129909366121,K2O в почве
0.4366109589479462,Na2O в почве
0.26472916634543103,Гумус
0.33979805772547983,Общий азот
0.17446517780678428,Отношение C:N
0.6086531183484049,Железо «аморфное»
0.19738685396446345,Алюминий «аморфный»
0.7979638747567604,Подвижный P
0.7984824407755641,Подвижный K
0.5138516076150935,ЕКО
0.5553317423001668,Сумма обменных оснований
0.7080121196292777,Обменный Ca2+
0.307896623347471,Обменный Mg2+
0.2933411442410787,Обменный Na+
0.5486455963765429,Степень насыщенности основаниями
0.6872995697812465,pH водный
0.59813168172653,pH солевой
0.15687175722192914,Обменный алюминий
0.2603847647843144,Обменный H+
0.28744164243350706,Гидролитическая кислотность
0.454722284111922,Каменистость
0.6423577603472805,"Гранулометрический состав, фракция 1-0,25 мм"
0.3304627343087907,"Гранулометрический состав, фракция 0,05-0,01 мм"
0.31200234383136793,"Гранулометрический состав, фракция 0,01-0,001 мм"
0.2295296739078339,"Гранулометрический состав, фракция 0,01-0,005 мм"
0.3940607027715315,"Гранулометрический состав, фракция 0,005-0,001 мм"
0.4818577982937882,"Гранулометрический состав, фракция меньше 0,001 мм"
0.3880199157767597,Гигроскопическая влажность
